Currency_Pair,Date,Value
EURUSD,20161015,1.0966
EURUSD,20161016,1.09662
EURUSD,20161017,1.09984
EURUSD,20161018,1.09802
EURUSD,20161019,1.09736
EURUSD,20161020,1.09289
EURUSD,20161021,1.08836
EURUSD,20161022,1.08838
EURUSD,20161023,1.0878
EURUSD,20161024,1.088
EURUSD,20161025,1.08879
EURUSD,20161026,1.09072
EURUSD,20161027,1.08949
EURUSD,20161028,1.0982
EURUSD,20161029,1.0981
EURUSD,20161030,1.09897
EURUSD,20161031,1.098
EURUSD,20161101,1.10535
EURUSD,20161102,1.1097
EURUSD,20161103,1.11035
EURUSD,20161104,1.11379
EURUSD,20161105,1.1145
EURUSD,20161106,1.1067
EURUSD,20161107,1.10446
EURUSD,20161108,1.10145
EURUSD,20161109,1.09092
EURUSD,20161110,1.08854
EURUSD,20161111,1.08469
EURUSD,20161112,1.08519
EURUSD,20161113,1.083
EURUSD,20161114,1.07342
EURUSD,20161115,1.07287
EURUSD,20161116,1.06824
EURUSD,20161117,1.06245
EURUSD,20161118,1.05927
EURUSD,20161119,1.05841
EURUSD,20161120,1.05986
EURUSD,20161121,1.06253
EURUSD,20161122,1.06243
EURUSD,20161123,1.05526
EURUSD,20161124,1.05523
EURUSD,20161125,1.05923
EURUSD,20161126,1.05892
EURUSD,20161127,1.06119
EURUSD,20161128,1.06074
EURUSD,20161129,1.06454
EURUSD,20161130,1.05968
EURUSD,20161201,1.06593
EURUSD,20161202,1.06633
EURUSD,20161203,1.06608
EURUSD,20161204,1.06401
EURUSD,20161205,1.07624
EURUSD,20161206,1.0721
EURUSD,20161207,1.07629
EURUSD,20161208,1.06153
EURUSD,20161209,1.0559
EURUSD,20161210,1.05578
EURUSD,20161211,1.05305
EURUSD,20161212,1.06342
EURUSD,20161213,1.06204
EURUSD,20161214,1.05325
EURUSD,20161215,1.04134
EURUSD,20161216,1.04421
EURUSD,20161217,1.04492
EURUSD,20161218,1.04288
EURUSD,20161219,1.04003
EURUSD,20161220,1.03896
EURUSD,20161221,1.04303
EURUSD,20161222,1.0434
EURUSD,20161223,1.04487
EURUSD,20161224,1.0446
EURUSD,20161225,1.0451
EURUSD,20161226,1.04565
EURUSD,20161227,1.04553
EURUSD,20161228,1.04068
EURUSD,20161229,1.04826
EURUSD,20161230,1.05246
EURUSD,20161231,1.0516
EURUSD,20170101,1.0515
EURUSD,20170102,1.04599
EURUSD,20170103,1.04017
EURUSD,20170104,1.0486
EURUSD,20170105,1.05989
EURUSD,20170106,1.05341
EURUSD,20170107,1.0532
EURUSD,20170108,1.05281
EURUSD,20170109,1.05684
EURUSD,20170110,1.05609
EURUSD,20170111,1.05721
EURUSD,20170112,1.0622
EURUSD,20170113,1.06371
EURUSD,20170114,1.06399
EURUSD,20170115,1.06018
EURUSD,20170116,1.05992
EURUSD,20170117,1.07048
EURUSD,20170118,1.06382
EURUSD,20170119,1.06601
EURUSD,20170120,1.06955
EURUSD,20170121,1.0699
EURUSD,20170122,1.07051
EURUSD,20170123,1.07434
EURUSD,20170124,1.07329
EURUSD,20170125,1.07521
EURUSD,20170126,1.06755
EURUSD,20170127,1.06949
EURUSD,20170128,1.06979
EURUSD,20170129,1.0715
